0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
-54.13,7.11,-45.93,-92.16,15.42,-21.7,-99.39,10.29,-3.92,-93.62,6.32,10.71,-77.41,7.01,29.65
-54.32,7.49,-45.72,-92.19,15.42,-21.56,-99.45,9.98,-3.84,-93.63,5.98,10.77,-77.35,6.75,29.79
-54.53,7.91,-45.48,-92.22,15.41,-21.42,-99.52,9.61,-3.75,-93.64,5.57,10.83,-77.29,6.45,29.95
-54.93,8.24,-45.29,-92.55,15.24,-21.32,-99.86,9.16,-3.71,-93.92,4.65,10.9,-77.42,5.54,30.15
-55.18,8.5,-44.98,-92.65,15.02,-21.15,-99.94,8.65,-3.65,-93.93,3.67,10.94,-77.32,4.58,30.26
-55.52,9.38,-44.37,-92.62,14.75,-20.93,-99.97,7.39,-3.55,-93.76,1.9,11.03,-77.04,3.32,30.32
-55.93,10.28,-43.8,-92.72,14.49,-20.74,-100.11,6.12,-3.45,-93.68,0.35,11.11,-76.89,2.32,30.35
-55.74,10.45,-43.46,-92.47,13.61,-20.55,-99.77,4.04,-3.25,-93.15,-0.39,11.1,-76.34,1.62,30.28
-55.81,10.62,-43.38,-92.69,12.68,-20.48,-99.84,2.27,-3.05,-93.12,-0.67,11.11,-76.26,1.39,30.28
-55.88,10.81,-43.28,-92.88,11.8,-20.4,-99.86,0.76,-2.85,-93.11,-0.72,11.1,-76.24,1.47,30.25
-55.54,10.65,-43.17,-92.59,10.69,-20.26,-99.34,0.12,-2.53,-92.62,-0.74,11.21,-75.78,1.59,30.31
-55.47,10.54,-43.28,-92.75,9.73,-20.21,-99.34,-0.45,-2.21,-92.6,-0.74,11.39,-75.67,1.73,30.6
-55.07,10.13,-43.33,-92.38,9.5,-20.06,-98.91,-0.5,-1.76,-92.17,-0.81,11.63,-74.86,1.89,31.84
-54.89,9.72,-43.6,-92.4,9.4,-19.99,-98.91,-0.59,-1.21,-92.15,-0.87,11.97,-74.32,2.05,33.19
-54.51,9.15,-43.7,-92.06,9.27,-19.91,-98.54,-0.55,-0.99,-91.77,-0.97,12.31,-73.6,2.06,34.06
-54.24,8.39,-44.07,-92.07,9.18,-19.93,-98.54,-0.52,-0.77,-91.73,-1.07,12.75,-73.2,2.04,34.88
-53.93,7.53,-44.47,-92.08,9.07,-19.96,-98.54,-0.49,-0.55,-91.68,-1.17,13.23,-72.82,1.99,35.62
-53.65,7.1,-44.54,-91.84,8.88,-19.97,-98.29,-0.39,-0.41,-91.41,-1.33,13.45,-72.4,1.72,35.95
-53.54,6.75,-44.68,-91.85,8.71,-20.05,-98.29,-0.28,-0.28,-91.37,-1.48,13.69,-72.13,1.33,36.37
-53.44,6.74,-44.52,-91.59,8.53,-20.17,-98.02,-0.29,-0.22,-91.11,-1.54,13.87,-71.81,1.19,36.5
-53.49,6.78,-44.48,-91.56,8.37,-20.37,-98.02,-0.31,-0.17,-91.09,-1.57,14.07,-71.68,1.13,36.73
-53.55,6.83,-44.42,-91.54,8.2,-20.58,-98.02,-0.34,-0.14,-91.07,-1.57,14.28,-71.53,1.11,37.02
-53.4,6.92,-44.22,-91.18,8.03,-20.73,-97.67,-0.4,-0.15,-90.74,-1.52,14.41,-71.17,1.31,37.14
-53.45,7.06,-44.18,-91.15,7.88,-20.96,-97.66,-0.47,-0.17,-90.73,-1.45,14.59,-71.08,1.75,37.42
-53.4,7.16,-44.07,-90.97,7.67,-21.17,-97.5,-0.6,-0.23,-90.57,-1.44,14.71,-70.99,2.25,37.46
-53.43,7.28,-44.03,-90.93,7.46,-21.43,-97.49,-0.76,-0.3,-90.56,-1.42,14.85,-71.01,2.81,37.57
-53.47,7.41,-44.0,-90.88,7.26,-21.75,-97.49,-0.92,-0.38,-90.55,-1.39,14.98,-71.02,3.37,37.68
-53.43,7.4,-43.98,-90.81,6.98,-21.93,-97.42,-1.04,-0.5,-90.49,-1.45,15.03,-70.94,3.44,37.73
-53.42,7.39,-43.99,-90.78,6.7,-22.13,-97.41,-1.16,-0.63,-90.48,-1.51,15.08,-70.91,3.52,37.8
-53.39,7.36,-43.98,-90.73,6.49,-22.28,-97.37,-1.24,-0.78,-90.43,-1.63,15.06,-70.89,3.52,37.77
-53.39,7.32,-43.98,-90.71,6.28,-22.43,-97.36,-1.33,-0.94,-90.42,-1.77,15.03,-70.9,3.52,37.75
-53.38,7.28,-43.99,-90.69,6.07,-22.57,-97.35,-1.42,-1.11,-90.42,-1.9,15.0,-70.93,3.53,37.72
-53.35,7.23,-43.93,-90.6,5.89,-22.65,-97.25,-1.48,-1.3,-90.33,-2.1,14.87,-70.92,3.35,37.57
-53.37,7.19,-43.91,-90.59,5.72,-22.73,-97.24,-1.53,-1.49,-90.33,-2.31,14.74,-70.98,3.15,37.43
-53.32,7.15,-43.86,-90.5,5.53,-22.8,-97.14,-1.59,-1.7,-90.24,-2.52,14.57,-71.0,2.93,37.23
-53.33,7.11,-43.85,-90.48,5.35,-22.88,-97.13,-1.64,-1.93,-90.23,-2.75,14.41,-71.13,2.69,36.97
-53.32,7.15,-43.79,-90.41,5.19,-22.97,-97.06,-1.72,-2.14,-90.17,-2.97,14.26,-71.21,2.5,36.7
-53.34,7.19,-43.76,-90.39,5.05,-23.07,-97.04,-1.81,-2.36,-90.15,-3.21,14.12,-71.34,2.31,36.43
-53.41,7.28,-43.75,-90.43,4.92,-23.2,-97.09,-1.92,-2.57,-90.2,-3.41,14.01,-71.49,2.17,36.25
-53.44,7.37,-43.71,-90.4,4.79,-23.32,-97.07,-2.03,-2.79,-90.18,-3.62,13.89,-71.59,2.03,36.05
-53.48,7.48,-43.67,-90.37,4.66,-23.45,-97.05,-2.15,-3.0,-90.17,-3.82,13.76,-71.68,1.9,35.84
-53.63,7.59,-43.68,-90.49,4.66,-23.63,-97.2,-2.28,-3.19,-90.32,-3.98,13.67,-71.88,1.83,35.77
-53.69,7.69,-43.6,-90.45,4.67,-23.77,-97.18,-2.41,-3.37,-90.31,-4.13,13.56,-71.94,1.77,35.63
-53.75,7.8,-43.52,-90.41,4.69,-23.91,-97.16,-2.54,-3.55,-90.3,-4.26,13.45,-72.01,1.71,35.49
-53.91,7.88,-43.58,-90.6,4.59,-24.06,-97.37,-2.69,-3.64,-90.52,-4.25,13.44,-72.25,1.9,35.48
-53.94,7.95,-43.54,-90.58,4.48,-24.15,-97.36,-2.83,-3.71,-90.53,-4.22,13.4,-72.33,2.11,35.39
-54.12,7.9,-43.68,-90.86,4.29,-24.28,-97.67,-2.92,-3.72,-90.83,-4.16,13.47,-72.58,2.36,35.53
-54.12,7.81,-43.69,-90.85,4.07,-24.32,-97.67,-2.99,-3.7,-90.84,-4.08,13.5,-72.58,2.63,35.58
-54.11,7.71,-43.7,-90.84,3.84,-24.36,-97.67,-3.06,-3.67,-90.86,-3.98,13.55,-72.58,2.92,35.63
-54.22,7.55,-43.87,-91.09,3.55,-24.39,-97.94,-3.12,-3.55,-91.1,-3.94,13.67,-72.7,3.09,35.87
-54.18,7.36,-43.92,-91.1,3.18,-24.35,-97.94,-3.17,-3.41,-91.09,-3.87,13.78,-72.63,3.26,36.04
-54.24,7.27,-44.06,-91.29,2.87,-24.31,-98.13,-3.26,-3.2,-91.24,-3.91,13.98,-72.56,3.3,36.46
-54.2,7.17,-44.12,-91.31,2.58,-24.2,-98.14,-3.34,-2.97,-91.21,-3.94,14.18,-72.28,3.34,36.96
-54.14,6.94,-44.31,-91.44,2.4,-24.13,-98.25,-3.46,-2.73,-91.29,-3.95,14.39,-72.06,3.24,37.48
-54.01,6.69,-44.48,-91.46,2.21,-24.02,-98.25,-3.58,-2.47,-91.26,-3.94,14.6,-71.76,3.1,37.93
-53.92,6.45,-44.62,-91.52,1.99,-23.92,-98.27,-3.79,-2.2,-91.27,-3.98,14.81,-71.57,2.92,38.27
-53.81,6.2,-44.76,-91.55,1.77,-23.8,-98.26,-4.01,-1.92,-91.23,-4.01,15.03,-71.35,2.71,38.57
-53.7,5.93,-44.89,-91.57,1.54,-23.68,-98.24,-4.24,-1.58,-91.2,-4.04,15.26,-71.14,2.48,38.85
-53.66,5.76,-45.06,-91.71,1.37,-23.56,-98.32,-4.49,-1.29,-91.26,-4.15,15.48,-71.08,2.21,39.06
-53.56,5.58,-45.18,-91.74,1.2,-23.41,-98.29,-4.74,-0.99,-91.21,-4.26,15.68,-70.93,1.93,39.22
-53.55,5.34,-45.33,-91.91,0.97,-23.24,-98.4,-4.93,-0.66,-91.29,-4.38,15.91,-70.93,1.72,39.4
-53.47,5.08,-45.42,-91.95,0.73,-23.03,-98.38,-5.09,-0.31,-91.24,-4.49,16.12,-70.82,1.51,39.52
-53.4,4.82,-45.5,-91.99,0.46,-22.8,-98.35,-5.24,0.05,-91.19,-4.59,16.32,-70.7,1.29,39.64
-53.47,4.57,-45.61,-92.23,0.28,-22.55,-98.52,-5.31,0.26,-91.32,-4.69,16.5,-70.78,1.08,39.76
-53.45,4.31,-45.63,-92.31,0.1,-22.15,-98.51,-5.35,0.46,-91.28,-4.77,16.65,-70.72,0.87,39.8
-53.63,4.41,-45.57,-92.51,-0.04,-21.75,-98.61,-5.44,0.65,-91.36,-4.86,16.79,-70.73,0.54,39.88
-53.77,4.54,-45.44,-92.59,-0.17,-21.31,-98.59,-5.51,0.83,-91.32,-4.94,16.91,-70.65,0.2,39.91
-53.92,4.71,-45.29,-92.67,-0.3,-20.89,-98.57,-5.59,1.01,-91.29,-5.02,17.02,-70.58,-0.12,39.92
-54.05,4.8,-45.09,-92.65,-0.46,-20.62,-98.48,-5.69,1.21,-91.19,-5.08,17.15,-70.49,-0.21,39.94
-54.26,4.95,-44.87,-92.67,-0.62,-20.38,-98.45,-5.8,1.41,-91.16,-5.14,17.3,-70.44,-0.29,39.98
-54.44,5.07,-44.58,-92.61,-0.78,-20.17,-98.33,-5.95,1.62,-91.04,-5.19,17.44,-70.33,-0.27,40.01
-54.7,5.22,-44.29,-92.63,-0.94,-19.97,-98.29,-6.11,1.82,-90.99,-5.24,17.6,-70.29,-0.24,40.08
-54.78,5.22,-44.12,-92.57,-1.08,-19.82,-98.18,-6.24,2.0,-90.89,-5.28,17.74,-70.2,-0.13,40.13
-54.87,5.21,-44.02,-92.57,-1.21,-19.69,-98.15,-6.37,2.18,-90.85,-5.32,17.9,-70.17,-0.01,40.22
-54.87,5.16,-43.94,-92.51,-1.3,-19.57,-98.04,-6.49,2.34,-90.75,-5.33,18.02,-70.1,0.15,40.27
-54.89,5.12,-43.91,-92.52,-1.38,-19.47,-98.01,-6.62,2.49,-90.72,-5.32,18.16,-70.08,0.32,40.35
-54.9,5.05,-43.9,-92.52,-1.46,-19.38,-97.98,-6.75,2.64,-90.7,-5.3,18.29,-70.06,0.51,40.43
-54.79,5.09,-43.81,-92.36,-1.47,-19.24,-97.76,-6.85,2.76,-90.5,-5.31,18.36,-69.89,0.59,40.43
-54.79,5.15,-43.81,-92.38,-1.48,-19.14,-97.73,-6.96,2.88,-90.48,-5.34,18.46,-69.85,0.68,40.5
-54.66,5.08,-43.78,-92.24,-1.52,-19.02,-97.56,-7.02,2.98,-90.31,-5.34,18.52,-69.71,0.71,40.5
-54.61,5.01,-43.83,-92.25,-1.55,-18.94,-97.54,-7.09,3.08,-90.29,-5.36,18.61,-69.67,0.73,40.56
-54.51,4.95,-43.81,-92.16,-1.51,-18.85,-97.41,-7.14,3.17,-90.17,-5.36,18.68,-69.53,0.67,40.57
-54.48,4.89,-43.85,-92.18,-1.46,-18.78,-97.39,-7.2,3.26,-90.15,-5.37,18.76,-69.47,0.6,40.63
-54.44,4.83,-43.88,-92.19,-1.39,-18.72,-97.38,-7.25,3.35,-90.13,-5.37,18.84,-69.41,0.51,40.68
-54.36,4.78,-43.95,-92.18,-1.27,-18.79,-97.35,-7.27,3.4,-90.1,-5.37,18.9,-69.29,0.36,40.77
-54.28,4.72,-44.04,-92.18,-1.12,-18.88,-97.35,-7.28,3.44,-90.09,-5.36,18.97,-69.16,0.17,40.88
-54.09,4.62,-44.21,-92.12,-1.02,-18.98,-97.27,-7.31,3.5,-90.0,-5.35,19.08,-68.97,0.06,41.01
-53.92,4.52,-44.42,-92.11,-0.9,-19.09,-97.26,-7.34,3.57,-89.98,-5.34,19.21,-68.81,-0.05,41.17
-53.74,4.41,-44.65,-92.1,-0.78,-19.23,-97.25,-7.37,3.63,-89.95,-5.33,19.35,-68.65,-0.16,41.34
-53.43,4.32,-44.89,-91.97,-0.63,-19.39,-97.13,-7.38,3.66,-89.82,-5.32,19.42,-68.39,-0.23,41.48
-53.16,4.2,-45.24,-91.96,-0.48,-19.58,-97.12,-7.41,3.69,-89.8,-5.31,19.51,-68.18,-0.3,41.71
-52.75,4.1,-45.55,-91.8,-0.25,-19.72,-96.97,-7.38,3.72,-89.65,-5.22,19.54,-67.98,-0.35,41.73
-52.39,3.99,-45.98,-91.79,-0.01,-19.9,-96.98,-7.35,3.76,-89.66,-5.12,19.59,-67.89,-0.39,41.82
-51.97,3.89,-46.45,-91.78,0.25,-20.09,-96.99,-7.3,3.79,-89.67,-5.02,19.64,-67.81,-0.42,41.91
-51.61,3.96,-46.6,-91.57,0.53,-20.21,-96.84,-7.05,3.76,-89.52,-4.81,19.59,-67.7,-0.3,41.81
-51.36,4.06,-46.85,-91.56,0.81,-20.39,-96.9,-6.77,3.73,-89.57,-4.6,19.56,-67.75,-0.16,41.8
-51.15,4.12,-46.92,-91.42,1.03,-20.5,-96.83,-6.45,3.68,-89.54,-4.11,19.48,-67.71,0.02,41.72
-51.04,4.2,-47.04,-91.41,1.24,-20.65,-96.91,-6.09,3.63,-89.64,-3.52,19.41,-67.79,0.24,41.7
-50.93,4.29,-47.15,-91.4,1.46,-20.79,-97.0,-5.59,3.57,-89.74,-2.9,19.33,-67.89,0.56,41.66
-50.95,4.4,-47.09,-91.36,1.82,-20.87,-97.04,-5.16,3.46,-89.76,-2.55,19.18,-68.01,0.83,41.53
